"","year","site","variety","tree","branch","rn","1","2","3","4","5","6","7","8","9","10","11","12","AUDPCm"
"70",2016,"agaro","F-35",3,"bot",1,0,16.3440170940171,18.7140170940171,19.8340170940171,17.5940170940171,14.2040170940171,10.9740170940171,0,0,0,1.94444444444445,0,99.608547008547
"71",2016,"agaro","F-35",3,"mid",1,0,5.79273504273504,8.16273504273504,9.28273504273504,7.04273504273504,3.65273504273504,0,0,0,0,0,0,33.9336752136752
"72",2016,"agaro","F-35",3,"top",1,0,0,3.12854700854701,4.24854700854701,2.00854700854701,0,0,0,0,0,0,0,9.38564102564103
"73",2016,"agaro","F-59",1,"bot",1,0,19.7238461538462,15,18,20.9738461538462,17.5838461538462,14.3538461538462,8.37384615384616,2,0,0,0,116.009230769231
"74",2016,"agaro","F-59",1,"mid",1,0,7.29222222222223,9.66222222222223,10.7822222222222,8.54222222222223,5.15222222222222,0,0,0,0,0,0,41.4311111111111
"75",2016,"agaro","F-59",1,"top",1,0,0.876,3.34598290598291,4.46598290598291,2.22598290598291,0,0,0,0,0,0,0,10.9139487179487
"76",2016,"agaro","F-59",2,"bot",1,0,11,18,24.4574358974359,22.2174358974359,18.8274358974359,15.5974358974359,9.6174358974359,2,0,0,0,121.717179487179
"77",2016,"agaro","F-59",2,"mid",1,0,11.5571794871795,13.9271794871795,15.0471794871795,12.8071794871795,9.41717948717948,6.18717948717948,0,0,0,0,0,68.9430769230769
"78",2016,"agaro","F-59",2,"top",1,0,5.43752136752137,7.80752136752137,8.92752136752137,6.68752136752137,3.29752136752137,0,0,0,0,0,0,32.1576068376069
"79",2016,"agaro","F-59",3,"bot",1,0,19.1640170940171,18,22.6540170940171,20.4140170940171,17.0240170940171,13.7940170940171,7.8140170940171,3,0,0,0,121.864102564103
"80",2016,"agaro","F-59",3,"mid",1,0,8.61273504273504,10.982735042735,12.102735042735,9.86273504273504,6.47273504273504,3.24273504273504,0,0,0,4.47008547008547,0,55.7464957264957
"81",2016,"agaro","F-59",3,"top",1,0,3.57854700854701,5.94854700854701,7.06854700854701,4.82854700854701,0,0,0,0,0,0.0427350427350411,0,21.4669230769231
"82",2016,"agaro","L-03",1,"bot",1,0,14,18,17,17,21.9038461538462,18.6738461538462,12.6938461538462,2,0,0,0,121.271538461538
"83",2016,"agaro","L-03",1,"mid",1,0,11.6122222222222,13.9822222222222,15.1022222222222,12.8622222222222,9.47222222222222,6.24222222222222,0,0,0,0,0,69.2733333333333
"84",2016,"agaro","L-03",1,"top",1,0,5.29598290598291,7.66598290598291,8.78598290598291,6.54598290598291,0,0,0,0,0,0,0,28.2939316239316
"85",2016,"agaro","L-03",2,"bot",1,0,15,19,28.7774358974359,18,23.1474358974359,6,4.52717948717948,2,0,0,0,116.452051282051
"86",2016,"agaro","L-03",2,"mid",1,0,15.8771794871795,18.2471794871795,19.3671794871795,17.1271794871795,13.7371794871795,4,4.52717948717948,4.52717948717948,0,0,0,97.4102564102564
"87",2016,"agaro","L-03",2,"top",1,0,9.75752136752137,12.1275213675214,13.2475213675214,11.0075213675214,7.61752136752137,4.38752136752137,0,0,0,0,0,58.1451282051282
"88",2016,"agaro","L-03",3,"bot",1,0,13,17,18,16,21.3440170940171,18.1140170940171,0,0,0,0,0,103.458034188034
"89",2016,"agaro","L-03",3,"mid",1,0,12.932735042735,15.302735042735,16.422735042735,14.182735042735,10.792735042735,7.56273504273504,0,0,0,0,0,77.1964102564102
"90",2016,"agaro","L-03",3,"top",1,0,7.89854700854701,10.268547008547,11.388547008547,9.14854700854701,5.75854700854701,0,0,0,0,0,0,44.462735042735
"91",2016,"agaro","L-45",1,"bot",1,0,18.6038461538462,14,22.0938461538462,19.8538461538462,16.4638461538462,13.2338461538462,7.25384615384616,2.1,0,1.75213675213675,0,115.355213675214
"92",2016,"agaro","L-45",1,"mid",1,0,6.17222222222223,8.54222222222223,9.66222222222223,7.42222222222223,4.03222222222223,0,0,0,0,0,0,35.8311111111111
"93",2016,"agaro","L-45",1,"top",1,0,0,2.22598290598291,3.34598290598291,1.10598290598291,0,0,0,0,0,0,0,6.67794871794872
"94",2016,"agaro","L-45",2,"bot",1,0,19.8474358974359,14,13,21.0974358974359,17.7074358974359,14.4774358974359,8.4974358974359,3.2,3.45299145299145,0.235042735042734,0,115.515213675214
"95",2016,"agaro","L-45",2,"mid",1,0,10.4371794871795,12.8071794871795,13.9271794871795,11.6871794871795,8.29717948717948,5.06717948717948,0,0,0,0,0,62.2230769230769
"96",2016,"agaro","L-45",2,"top",1,0,4.31752136752137,6.68752136752137,7.80752136752137,5.56752136752137,2.17752136752137,0,0,0,0,0,0,26.5576068376069
"97",2016,"agaro","L-45",3,"bot",1,0,18.0440170940171,20.4140170940171,21.5340170940171,19.2940170940171,15.9040170940171,12.6740170940171,6.6940170940171,1.34,0.85042735042735,0,0,116.748547008547
"98",2016,"agaro","L-45",3,"mid",1,0,7.49273504273504,9.86273504273504,10.982735042735,8.74273504273504,5.35273504273504,2.12273504273504,0,0,0,0,0,44.5564102564103
"99",2016,"agaro","L-45",3,"top",1,0,2.45854700854701,4.82854700854701,5.94854700854701,3.70854700854701,0.23,0,0,0,0,0,0,17.174188034188
