"","site","year","month","variety","tree","branch","incidence","severity","sld"
"72","agaro",2016,1,"74110",3,"bot",58.92,19.5640170940171,13.4823760683761
"73","agaro",2016,1,"F-35",1,"top",0,0,0
"74","agaro",2016,1,"F-35",1,"mid",3.44,2.33222222222223,0.381888888888891
"75","agaro",2016,1,"F-35",1,"bot",32.53,14.7638461538462,10.6131153846154
"76","agaro",2016,1,"F-35",2,"top",0,0,0
"77","agaro",2016,1,"F-35",2,"mid",13.42,6.59717948717948,3.89194871794872
"78","agaro",2016,1,"F-35",2,"bot",35.44,16.0074358974359,11.6365897435897
"79","agaro",2016,1,"F-35",3,"top",0,0,0
"80","agaro",2016,1,"F-35",3,"mid",6.53,3.65273504273504,1.46867094017094
"81","agaro",2016,1,"F-35",3,"bot",31.22,14.2040170940171,10.1523760683761
"82","agaro",2016,1,"7454",1,"top",2,1,1
"83","agaro",2016,1,"7454",1,"mid",3,1,1
"84","agaro",2016,1,"7454",1,"bot",7,2,3
"85","agaro",2016,1,"7454",2,"top",3,3,2
"86","agaro",2016,1,"7454",2,"mid",5,2,1.6
"87","agaro",2016,1,"7454",2,"bot",11,4,3
"88","agaro",2016,1,"7454",3,"top",2,0,0
"89","agaro",2016,1,"7454",3,"mid",4,2,1
"90","agaro",2016,1,"7454",3,"bot",5,2,1
"91","agaro",2016,1,"74112",1,"top",0,0,0
"92","agaro",2016,1,"74112",1,"mid",4.01,2.85222222222223,0.811888888888891
"93","agaro",2016,1,"74112",1,"bot",33.1,15.2838461538462,11.0431153846154
"94","agaro",2016,1,"74112",2,"top",0,0,0
"95","agaro",2016,1,"74112",2,"mid",13.99,7.11717948717948,4.32194871794871
"96","agaro",2016,1,"74112",2,"bot",36.01,16.5274358974359,12.0665897435897
"97","agaro",2016,1,"74112",3,"top",0,0,0
"98","agaro",2016,1,"74112",3,"mid",7.1,4.17273504273504,1.89867094017094
"99","agaro",2016,1,"74112",3,"bot",31.79,14.7240170940171,10.5823760683761
"100","agaro",2016,2,"74140",1,"top",0,0,0
"101","agaro",2016,2,"74140",1,"mid",0,0,0
"102","agaro",2016,2,"74140",1,"bot",26.41,11.1638461538462,7.37311538461538
"103","agaro",2016,2,"74140",2,"top",0,0,0
"104","agaro",2016,2,"74140",2,"mid",7.29999999999999,2.99717948717948,0.651948717948716
"105","agaro",2016,2,"74140",2,"bot",29.32,12.4074358974359,8.39658974358974
"106","agaro",2016,2,"74140",3,"top",0,0,0
"107","agaro",2016,2,"74140",3,"mid",0,0,0
"108","agaro",2016,2,"74140",3,"bot",25.1,10.6040170940171,6.91237606837606
"109","agaro",2016,2,"F-59",1,"top",0,0,0
"110","agaro",2016,2,"F-59",1,"mid",0,0,0
"111","agaro",2016,2,"F-59",1,"bot",36.51,14.3538461538462,9.83311538461538
"112","agaro",2016,2,"F-59",2,"top",0,0,0
"113","agaro",2016,2,"F-59",2,"mid",17.4,6.18717948717948,3.11194871794871
"114","agaro",2016,2,"F-59",2,"bot",39.42,15.5974358974359,10.8565897435897
"115","agaro",2016,2,"F-59",3,"top",0,0,0
"116","agaro",2016,2,"F-59",3,"mid",10.51,3.24273504273504,0.688670940170936
"117","agaro",2016,2,"F-59",3,"bot",35.2,13.7940170940171,9.37237606837606
"118","agaro",2016,2,"L-03",1,"top",0,0,0
"119","agaro",2016,2,"L-03",1,"mid",34.53,6.24222222222222,1.86188888888889
"120","agaro",2016,2,"L-03",1,"bot",35,18.6738461538462,12.0931153846154
"121","agaro",2016,2,"L-03",2,"top",8,4.38752136752137,0.335470085470084
"122","agaro",2016,2,"L-03",2,"mid",44.51,4,5.37194871794871
"123","agaro",2016,2,"L-03",2,"bot",66.53,6,13.1165897435897
"124","agaro",2016,2,"L-03",3,"top",0,0,0
"125","agaro",2016,2,"L-03",3,"mid",37.62,7.56273504273504,2.94867094017094
"126","agaro",2016,2,"L-03",3,"bot",62.31,18.1140170940171,11.6323760683761
"127","agaro",2016,2,"L-54",1,"top",0,0,0
"128","agaro",2016,2,"L-54",1,"mid",0,0,0
"129","agaro",2016,2,"L-54",1,"bot",26.75,11.5338461538462,7.64311538461538
"130","agaro",2016,2,"L-54",2,"top",0,0,0
"131","agaro",2016,2,"L-54",2,"mid",7.63999999999999,3.36717948717948,0.921948717948715
"132","agaro",2016,2,"L-54",2,"bot",29.66,12.7774358974359,8.66658974358974
"133","agaro",2016,2,"L-54",3,"top",0,0,0
"134","agaro",2016,2,"L-54",3,"mid",0,0,0
"135","agaro",2016,2,"L-54",3,"bot",25.44,10.9740170940171,7.18237606837606
"136","agaro",2016,2,"L-45",1,"top",0,0,0
"137","agaro",2016,2,"L-45",1,"mid",0,0,0
"138","agaro",2016,2,"L-45",1,"bot",32.94,13.2338461538462,9.30311538461538
"139","agaro",2016,2,"L-45",2,"top",0,0,0
"140","agaro",2016,2,"L-45",2,"mid",13.83,5.06717948717948,2.58194871794871
"141","agaro",2016,2,"L-45",2,"bot",35.85,14.4774358974359,10.3265897435897
"142","agaro",2016,2,"L-45",3,"top",0,0,0
"143","agaro",2016,2,"L-45",3,"mid",6.94,2.12273504273504,0.158670940170938
"144","agaro",2016,2,"L-45",3,"bot",31.63,12.6740170940171,8.84237606837606
"145","agaro",2016,2,"7440",1,"top",0,0,0
"146","agaro",2016,2,"7440",1,"mid",0,0,0
"147","agaro",2016,2,"7440",1,"bot",29.49,12.7638461538462,8.79311538461538
"148","agaro",2016,2,"7440",2,"top",0,0,0
"149","agaro",2016,2,"7440",2,"mid",10.38,4.59717948717948,2.07194871794871
"150","agaro",2016,2,"7440",2,"bot",32.4,14.0074358974359,9.81658974358973
"151","agaro",2016,2,"7440",3,"top",0,0,0
"152","agaro",2016,2,"7440",3,"mid",0,0,0
"153","agaro",2016,2,"7440",3,"bot",28.18,12.2040170940171,8.33237606837606
"154","agaro",2016,2,"74148",1,"top",0,0,0
"155","agaro",2016,2,"74148",1,"mid",16.39,3.19222222222222,0.17188888888889
"156","agaro",2016,2,"74148",1,"bot",45.48,15.6238461538462,10.4031153846154
"157","agaro",2016,2,"74148",2,"top",0,0,0
"158","agaro",2016,2,"74148",2,"mid",26.37,7.45717948717948,3.68194871794871
"159","agaro",2016,2,"74148",2,"bot",48.39,16.8674358974359,11.4265897435897
"160","agaro",2016,2,"74148",3,"top",0,0,0
"161","agaro",2016,2,"74148",3,"mid",19.48,4.51273504273504,1.25867094017093
"162","agaro",2016,2,"74148",3,"bot",44.17,15.0640170940171,9.94237606837606
"163","agaro",2016,2,"74110",1,"top",0,0,0
"164","agaro",2016,2,"74110",1,"mid",25.36,4.46222222222222,0.74188888888889
"165","agaro",2016,2,"74110",1,"bot",54.45,16.8938461538462,10.9731153846154
"166","agaro",2016,2,"74110",2,"top",0,0,0
"167","agaro",2016,2,"74110",2,"mid",35.34,8.72717948717948,4.25194871794871
"168","agaro",2016,2,"74110",2,"bot",57.36,18.1374358974359,11.9965897435897
"169","agaro",2016,2,"74110",3,"top",0,0,0
"170","agaro",2016,2,"74110",3,"mid",28.45,5.78273504273504,1.82867094017093
"171","agaro",2016,2,"74110",3,"bot",53.14,16.3340170940171,10.5123760683761
"172","agaro",2016,2,"F-35",1,"top",0,0,0
"173","agaro",2016,2,"F-35",1,"mid",0,0,0
"174","agaro",2016,2,"F-35",1,"bot",26.75,11.5338461538462,7.64311538461538
"175","agaro",2016,2,"F-35",2,"top",0,0,0
